,store,address,phone
345,충북혁신도시점,"충북 음성군 맹동면 두성리 충북혁신도시 CC2블럭 1-1 롯트 파스텔시티107,108,204호",043.883.8497
346,김포사우점,"경기 김포시 사우동 924 제우스 프라자 109호, 110호 일부",031.985.8497
347,서울숲점,서울 성동구 성수동1가 14-18,02.2117.0900
348,제주종합청사점,제주 제주시 도남동 694-3,064.702.8497
349,대구봉무공원점,대구 동구 봉무동 531-2번지,053.984.8497
350,광주시청로점,광주 서구 치평동 1231-3,062.381.9805
351,오산시청,경기도 오산시 원동 811-6 103호,031.374.8497
352,선릉이노센스점,서울특별시 강남구 테헤란로63길 11 (이노센스빌딩 1층),02.555.8497
353,울산혁신도시점,울산 중구 우정동 상2-7-1(3)BL,052.245.8417
354,제주 제원점,제주 제주시 연동 273-4,064.745.8497
355,분당 양지점,경기 성남시 분당구 수내동 58-1,031.713.8570
356,부산종합터미널점,부산 금정구 중앙대로 2238,051.581.8497
357,구미오태점,경상북도 칠곡군 북삼읍 금오대로2길 48 2층,054.975.8497
358,세종라온점,"충남 연기군 조치원읍(세종시 도담동) 1-4생활권 라온프라이빗 시티1, 113호",044.868.8496
359,경북 상주점,경북 상주시 냉림동 363번지 외 2칠지,054.534.0800
360,광주 효천점,광주광역시 남구 효우2로 26,062.674.8497
361,소래포구점,인천 남동구 소래역로 46번길 20 (남동구 논현동 676-1),032.442.8497
362,진주모다점,경남 진주시 정촌면 예하리,055.923.1040
363,대구 앞산정은점,대구 남구 대명동 506-3번지,053.657.6007
364,대구 두류점,대구 달서구 달구벌대로 1796,053.656.8655
365,김해인제대,경남 김해시 삼방동  172-3 (김해시 활천로 255번길 4),055.339.8497
366,제주 노형로타리점,제주 제주시 다랑곶길 4번지,064.748.8497
367,대구신서혁신도시점,대구 동구 각산동 1080-2 (각산로 1080-2),053.965.8497
368,제주일도점,제주 제주시 일도2동 360-11,064.755.8497
369,오창2산단점,충청북도 청주시 청원구 오창읍 2산단로 114 1층,043.217.8497
370,대전한남대점,"대전 대덕구 오정동 172-20, 21, 226-36",042.223.8497
371,당진 CGV점,충남 당진시 읍내동 1532번지 외 3필지 당진CGV 1층,041.352.7730
372,전남대점,광주 북구 호동로 15 (용봉동 161-17),062.251.9655
373,수완로점,광주광역시  광산구 수완로 73번길 3 (광주 광산구 수완동1128),062.954.3624
374,목포석현점,전남 목포시 석현동 1168-25 (옥암로 173),061.287.8497
375,거제고현점,경남 거제시 고현동 33-12번지,055.637.8497
376,대왕암공원점,울산 동구 일산동 903-5 대왕암상가 5동 2호,052.234.8497
377,서면솔라리아니스테츠호텔점,부산광역시 부산진구 서면로 22,051.801.9971
378,청주 수암골점,충북 청주시 상당구 수동 91-2외 2필지,043.222.8497
379,언양점,울산광역시 울주군 언양읍 동부8길 14,052.264.8497
380,선정릉역점,서울특별시 강남구 선릉로121길 6 (1층),02.518.8497
381,수서점,서울 강남구 수서동 461-26 (강남구 광평로 236),02.445.2106
382,동강병원점,울산광역시 중구 태화로 239,052.244.8497
383,분당KT계원점,경기 성남시 분당구 정자동 139-7,031.711.8397
384,광주유스퀘어점,광주 서구 광천동 유스퀘어 광천터미널,062.364.0015
385,신제주점,제주시 오라2동 3100-3,064.747.8297
386,전주 중화산점,전북 전주시 완산구 중화산동 2가 770-1,063.225.8497
387,구미봉곡점,경상북도 구미시 봉곡동 297-7,054.458.8497
388,울산장생포점,울산광역시 남구 장생포고래로 257-1(매암동)  카페 파스쿠찌,052.260.8497
389,충북증평점,충청북도 증평군 증평읍 중동리 58  1층,043.836.8497
390,중구 무궁화점,울산 중구 반구동 22-4번지,052.297.8497
391,연세세브란스2호점,서울시 서대문구 연세로 50-1 신촌세브란스 암병원 지상5층,02.2227.8273
392,연세세브란스1호점,"서울특별시 서대문구 연세로 50-1, 연세암센터 B1 파스쿠찌",02.2227.8276
393,부산남산점,부산 금정구 구서동 1032-9,051.516.8497
394,수지구청점,경기 용인시 수지구 풍덕천동 1195,031.897.8497
395,포항 지곡점,경북 포항시 남구 이동 53번지,054.282.8497
396,부산해운대점,부산 해운대구 우동 618-18번지,051.744.8498
397,제주 이도점,제주특별치도 제주시 이도이동1986-20,064.724.4715
398,교대메가스터디점,서울 서초구 서초동 1671-2번지,02.3486.8497
399,서산 호수공원점,충남 서산시 읍내동 50-3 1층,041.665.8497
400,제주 용담해안도로점,제주 제주시 용담3동 2319-1,064.711.3001
401,분당서울대병원점,경기도 성남시 분당구 구미로 173번길 82 분당서울대병원 본관 1층 일부,031.718.8497
402,광주황금점,광주 동구 황금동 19-1,062.225.8497
403,부평시장역점,인천광역시 부평구 부평대로 75 (한화생명사옥 1층),032.529.1966
404,청주터미널점,충북 청주시 흥덕구 가경동 1449 청주시외버스터미널 2층,043.232.8350
405,구월로데오점,인천광역시 남동구 인하로489번길 28 (로데오프라자 201호),032.421.8497
406,전북도청점,전북 전주시 완산구 효자동 2가 1234-2,063.223.8497
407,울산 성남점,울산광역시 중구 성남동 191-27 2F,052.246.8497
408,삼천포점,경상남도 사천시 주공로 23,055.835.0497
409,울산번영점,울산 남구 달동 1356-12,052.227.8497
410,상무 DY점,광주 서구 마륵동 162-7,062.374.8497
411,춘천 거두점,강원도 춘천시 동내면 춘천순환로 128 1층,033.262.8497
412,평택역점,"경기도 평택시 평택시 평택2로 19-2, 1층(평택동)",031.656.8497
413,탄현제니스스퀘어점,경기도 고양시 일산서구 탄현동 297번지 169호,031.916.3123
414,대전 탄방역점,대전 서구 탄방동 645,042.382.8497
415,안양예술공원점,안양시 만안구 석수동 825,031.473.8297
416,의정부역점,경기도 의정부시 의정부동 493-3 웨딩팰리스 1층,031.876.8497
417,뱅뱅사거리점,서울시 서초구 서초동 1340-11번지 1층,02.587.8497
418,원주봉화산점,"강원도 원주시 봉화로35-1(단계동,2층)",033.747.8497
419,퀸벨호텔점,대구시 동구 동촌로 200 퀸벨호텔 1층,053.261.8497
420,익산 모현점,전북 익산시 모현동 1가 836,063.856.8497
421,여수 여서점,전남 여수시 여서동 220-5 향군회관 1층,061.921.3332
422,거제장승포점,경남 거제시 장승포동 701-6번지,055.681.3955
423,대구동성로광장점,"대구광역시 중구 동성로3가 67-1 1,2층",053.255.8497
424,전남대병원점,광주광역시 동구 학동 67,062.223.8497
425,신촌연세대점,서울시 서대문구 창천동 9-20,02.393.8004
426,울산 구영점,울산광역시 울주군 범서읍 구영리 395-5번지,052.243.8497
427,삼산 무궁화점,울산광역시 남구 삼산동 188-1번지,052.256.8497
428,제주노형점,제주특별자치도 제주시 노형동 710-3 추산엘리시아빌딩 2층 B1호,064.747.8497
429,구미금오산점,경상북도 구미시 금오산로 219,054.456.3366
430,광주 신창점,광주광역시 광산구 신창동 1224-1,062.959.8497
431,대덕 벨리점,대전광역시 유성구 용산동 576번지 (테크노중앙로 153번지),042.936.8497
432,청주 봉명점,충청북도 청주시 흥덕구 봉명동 2861번지 1층,043.267.8497
433,목포북항점,"전남 목포시 고하대로 730, 1층",061.277.8497
434,달동목화점,울산광역시 남구 달동 1278-1번지,052.2678.497
435,익산 영등점,전북 익산시 영등동 747-7,063.836.8497
436,울산시청점,울산광역시 남구 신정동 186-11번지,052.257.3237
437,대전청사점,대전시 서구 월평동 236번지,042.487.8497
438,광교도청역점,"경기도 수원시 영통구 이의동 1351-1 태영데시앙 104,105호",031.214.8497
439,충주연수점,충북 충주시 연수동 1475,043.843.8497
440,충남 홍성점,충남 홍성군 홍성읍 대교리 392-1,041.633.8497
441,평화광장점,전라남도 목포시 상동 1137,061.287.3622
442,에스프레소바 양재,서울시 서초구 남부순환로 2620 1층,02.3462.8497
443,광주 충장점,광주광역시 동구 광산동 79-6,062.222.8497
444,대구 칠곡3지구점,대구광역시 북구 동천동 904-1,053.313.5757
445,여의도 KBS 본관점,서울시 영등포구 여의도동 17-10 교육시설공제회관 1층,02.783.8497
446,종로2가점,서울시 종로구 관수동 3-1,02.2275.8497
447,삼성역점,서울시 강남구 삼성동 168-21 석광빌딩 1층,02.564.7811
448,태화강대공원점,울산광역시 중구 태화동 482-10번지,052.245.8497
449,논현역점,서울시 강남구 논현동 122-8 동화히스110호,02.3443.8497
450,여수교동점,전라남도 여수시 교동 345-3,061.662.8497
451,구미인동점,경상북도 구미시 인동남길 130,054.471.2525
452,영풍문고IFC점,서울 영등포구 여의도동 23 IFC B2F 영풍문고내,02.6137.5691
453,부천소풍점,경기도 부천시 원미구 송내대로 239  (상동 소풍 2층 F01-2호),032.624.7721
454,포항 중앙점,경상북도 포항시 북구 대흥동 725,054.253.8497
455,장미의거리점,전라남도 목포시 상동 1003-1 1층,061.285.8497
456,인천작전역점,인천시 계양구 작전동 864-24 2층,032.545.8497
457,평택 서정점,경기도 평택시 서정동 801-9,031.611.4532
458,대구수변공원점,대구광역시 달서구 도원동 949-1,053.638.8497
459,수원역 로데오점,경기도 수원시 팔달구 매산로1가 57-69,031.256.5957
460,인천 스퀘어원점,"인천광역시 연수구 청능대로 210, 스퀘어원 (3F)",032.456.4346
461,화명산성로,부산 북구 화명동 1567-22번지,051.710.8197
462,여수 엑스포점,여수시 수정동 215-1,070.4417.9996
463,국악고점,서울시 강남구 개포동 1197-2,02.3495.0090
464,강남구청역점,서울특별시 강남구 선릉로 131길 12(1층),02.3444.8497
465,금정역점,경기도 군포시 산본동 266-5,031.399.8497
466,메세나폴리스점,"서울 마포구 양화로 45(서교동,메세나폴리스)2층 (서교동 490번지)",02.325.4100
467,광천터미널점,광주광역시 서구 농성공 460-24,062.368.8497
468,울산달동점,울산광역시 남구 달동 1394-14,052.267.8491
469,청주금천점,충청북도 청주시 상당구 금천동 301번지,043.294.8497
470,오산대점,경기도 오산시 궐동 93-2 모터프라자1층,031.373.8497
471,천안역점,충청남도 천안시 동남구 대흥동 124-2 1~2,041.555.8497
472,충북대 중문점,충청북도 청주시 흥덕구 사창동 156-5,043.264.8497
473,인천 엠파크점,인천광역시 서구 봉수대로 158,032.581.3232
474,구미시청점,경상북도 구미시 송정동 459번지,054.452.8297
475,청주하복대점,충북 청주시 흥덕구 북대동 2646 1층,043.237.8497
476,동촌유원지점,대구광역시 동구 효목동 1087-6,053.939.8497
477,서울시청점,서울 중구 태평로 1가 29-2,02.730.8497
478,스마트시티점,대전시 유성구 도룡동 4-7번지 스마트504동,042.867.8497
479,서여의도점,"서울 영등포구 여의도동 13 진미파라곤 1F 111호, 112호",02.780.8497
480,청주 개신점,충청북도 청주시 흥덕구 개신동 52-4,043.264.0333
481,전주서신점,전라북도 전주시 완산구 서신동 889-7,063.255.8497
482,대전가오점,대전시 동구 가오동 606 글로리타워 1층,042.286.8497
483,청주 용암점,충청북도 청주시 상당구 용암동 1635,043.283.2220
484,충북 오창점,충청북도 청주시 청원구 오창읍 과학산업2로 375 1층/2층,043.213.8497
485,김해 삼계,경남 김해시 삼계동 1453-6,055.333.8497
486,수지 성복점,경기도 용인시 수지구 성복동 401,031.262.8497
487,대전목원대점,대전시 서구 도안북로 93번길 25,042.826.8497
488,대구 수목원점,대구광역시 달서구 대곡동 1018-2,053.636.8497
489,여수 소호점,전라남도 여수시 소호동 443-2 1층 카페 파스쿠찌,061.691.1616
490,구월점,"인천광역시 남동구 구월동 1463 효명프라자 103호, 301호",032.422.8497
491,한국선원센터,부산 중구 중앙동4가 74-7 1F,051.660.3636
492,울산세이브존,울산광역시 남구 삼산동 1377-9,052.261.8397
493,주안역점,인천광역시 남구 주안로 116 (리가스퀘어 1층),032.439.7070
494,경북하양점,경상북동 경산시 하양읍 금락리 116-358,053.853.6767
495,전남도청점,전라남도 무안군 삼향면 남악리 2179,061.284.8497
496,군산수송점,전라북도 군산시 수송동 804-7,063.466.9898
497,디큐브아트센터점,서울 구로구 신도림동 360-51 디큐브아트센터 7층,02.2211.3070
498,인천연수역점,"인천광역시 연수구 먼우금로 217 (연수푸르지오 4단지 112호, 205호)",032.811.2266
499,잠실역점,서울 송파구 신천동 7-25 월드타워 1F,02.423.8497
500,서울대점,서울특별시 관악구 관악로 1,02.882.8497
501,신포로데오점,인천광역시 중구 개항로 29-1,032.777.8497
502,목포 한국병원점,전라남도 목포시 상동 148-1 목포한국병원내,061.272.7887
503,광주 풍암점,"광주광역시 서구 풍암동 1116 현인빌딩 103호 일부,201호,202호",062.654.8497
504,울산 일산테라스파크점,"울산시 동구 일산동 945번지 테라스파크 A동 109,112,113호",052.209.0310
505,판교도서관점,경기도 성남시 분당구 판교동 605-7,031.8016.8497
506,울산삼산점,울산광역시 남구 삼산동 1571-10번지,052.258.8497
507,양산점,경남 양산시 중부동 686-7 양산역프라자 109호 외,055.388.8497
508,광주 운암 굿모닝점,광주광역시 북구 운암동 1080-9 굿모닝병원 1층,062.531.7711
509,광주롯데점,"광주광역시 동구 대인동 22 1층,2층",062.710.8497
510,인천 부평역점,인천광역시 부평구 경원대로 1399 (2층),032.506.8497
511,순천법원점,전라남도 순천시 왕지동 869-2 대양빌딩 1층,061.723.0080
512,노원역점,서울시 노원구 상계동 724 1층,02.933.8497
513,양재역점,서울시 강남구 도곡동 953번지,02.3461.8497
514,분당 아름점,경기도 성남시 분당구 이매동 131-5 도도빌딩 2층,031.707.8497
515,대구 수성 유원지점,대구광역시 수성구 두산동 652-3,053.761.5285
516,목동파리공원점,서울시 양천구 목동 907-10번지 현대파리지앙,02.2645.8497
517,광주 일곡점,광주광역시 북구 일곡동 843-1,062.571.8497
518,가천대점,경기도 성남시 수정구 복정동 620-2,031.723.8497
519,부산역점,부산 동구 초량3동 1187-1 부산역 2층 맞이방,070.4048.0330
520,청주 산남점,"충청북도 청주시 흥덕구 산남동 588외1필지 두꺼비빌딩 102,103호",043.287.8497
521,성남을지대점,경기도 성남시 수정구 양지동 529번지,031.742.8497
522,레이킨스몰점,경기 고양시 일산구 대화동 2602번지  파스쿠찌 레이킨스몰점,031.923.8497
523,영통구청점,경기 수원시 영통구 매탄동 1267-7 중앙프라자 1F 103호,031.211.8497
524,화성 동탄점,"경기도 화성시 반송동 93-2번지 에스알골드프라자 118,119호 파스쿠찌  화성동탄점",031.8015.3497
525,서울대병원점,서울시 종로구 대학로 101 서울대학교병원 본관 1F 파스쿠찌,02.765.8497
526,포스코센터점,서울 강남구 대치동 891-43 앰에스에이빌딩 1F 파스쿠찌 포스코센터점,02.556.6121
527,대구동성로점,대구광역시 중구 동성로2가 70-2,053.428.8497
528,수원 인계점,"경기도 수원시 팔달구 인계동 1127-1,수원인계동 한화 꿈에그린 Park 118,119,120호",031.223.8497
529,수원AK점,경기도수원시 팔달구 매산로1가 수원역사 AK PLAZA 3층,031.240.1764
530,롯데마산점,경상남도 창원시 마산합포구 신포동2가 28,055.240.6497
531,광안리점,부산시 수영구 민락동 179-2   파스쿠찌 광안리점,051.752.8497
532,테크노마트점,서울시 광진구 구의동 546-4 테크노마트 지하 D-10호  파스쿠찌 테크노마트점,02.3424.1526
533,목포 하당점,전남 목포시 상동 889번지 파스쿠찌 목포하당점,061.287.4110
534,광주수완점,전남 광주광역시 광산구 장덕동 1661,062.955.8497
